OID_,_FID,Shape_Leng,fclass,_OID,HOP,POD,DIS_BUS,DIS_MTR,POI_COM,POI_SHOP,POI_SCE,POI_EDU,POI_MED,PR,TD,OPEN,CAR,GREN,ENCL,WAL,IMA,COMP,PM2_5,PM10,CO,TD_label
108,108.0,17.1825,residential,108.0,8456.89919708863,75.95,388.2102868470658,5579.558475329558,2.0,53.0,0.0,17.0,1.0,0.880166304538776,0.0,0.429828689759,0.0134564135448,0.0271518201713,0.795653631861,0.196647370385,0.00051659273814,1.39528657205,1.378047466276243,2.858461391040875,0.034462152636769,none
109,109.0,51.6356,tertiary,109.0,10199.999999999998,57.130434782608695,15.093725782246798,5672.260743107217,0.0,3.0,0.0,3.0,0.0,0.404050366843338,0.041666666666667,0.533571909709,0.02304113916605,0.191975421216,0.5395020490225,0.0990104477951,0.002167667251034,1.429098340585,1.378491318413891,2.858303761160383,0.034461430168561,low
110,110.0,61.2167,residential,110.0,10200.000000000004,59.63636363636363,33.219446388441405,5666.101495651964,0.0,3.0,0.0,4.0,0.0,0.443480773137018,0.0,0.544783626694667,0.007960062907893,0.229479931444667,0.607947578717667,0.109530968235033,0.00127683585906,1.41000245918,1.378491318413891,2.858303761160383,0.034461430168561,none
111,111.0,167.527,residential,111.0,6271.999999999999,60.10714285714285,595.7528695933992,5600.7897176043225,4.0,46.0,0.0,11.0,0.0,0.727260979542217,0.0,0.551542963847667,0.023822952944577,0.06323303467775,0.636209036852667,0.180815989305883,0.001152682017132,1.38187654358,1.377802451573046,2.858612401904476,0.034462102362862,none
112,112.0,68.3893,residential,112.0,6275.94967216384,58.81818181818183,576.3023484709149,5534.906817410746,2.0,35.0,0.0,9.0,0.0,0.824397486684535,0.0,0.504348448481333,0.009714639809223,0.0987818461346,0.681697750443333,0.165223516661433,0.000856208035265,1.47249787514,1.377802451573046,2.858612401904476,0.034462102362862,none
113,113.0,52.1633,residential,113.0,7379.16400663472,83.43478260869564,389.3912685935821,5562.996187123589,2.0,61.0,0.0,19.0,1.0,0.946130393619147,0.0,0.446470452121,0.005796133753763,0.0616217310649,0.763456438186333,0.275408739103667,0.000389374882342,1.488372919436667,1.378026101269338,2.858610467937451,0.034461194519586,none
114,114.0,71.2497,residential,114.0,6635.557814363155,84.92,419.0363639503553,5561.334213829445,2.0,69.0,0.0,19.0,1.0,0.986209113230686,0.0,0.43873651343675,0.008438110351565,0.11375611086955,0.7429920927535,0.2761120495845,0.000902658485505,1.509133503955,1.378026101269338,2.858610467937451,0.034461194519586,none
115,115.0,16.536,tertiary,115.0,10200.0,64.4,19.005529149441497,5643.864266297297,0.0,3.0,0.0,3.0,0.0,0.451624519853789,0.0,0.5128291486255,0.0443740293204,0.2086961125755,0.559143878511,0.0634948798816,0.001013146825583,1.424605738995,1.378489490898803,2.858369357976339,0.0344609773757,none
116,116.0,61.6359,residential,116.0,10200.0,59.63636363636363,42.65362686854214,5652.359776732305,0.0,3.0,0.0,4.0,0.0,0.454351019400788,0.0,0.5273615825605,0.01944539633142,0.1043289368411,0.62480295835125,0.119524402890781,0.001369614198985,1.4376629395925,1.378489490898803,2.858369357976339,0.0344609773757,none
117,117.0,27.3811,residential,117.0,6271.999999999999,72.76190476190477,567.0921314763606,5518.4613648592085,2.0,40.0,0.0,12.0,1.0,0.957637432075579,0.0,0.544589735896667,0.006253774865077,0.0262505098519,0.675304750776,0.068466421848833,0.000664645888241,1.250430491123333,1.377831344677833,2.85866650275059,0.034461603676399,none
